"","Hub","ID","Animal.Sex","Animal.Length..m.","Date","Date.Time"
"6512","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:05:00"
"6513","aquaHub-660273","9001-43149","Male",165,2025-09-20,"2025-09-20 04:06:00"
"6514","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:07:00"
"6515","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:07:00"
"6516","aquaHub-660273","9001-43149","Male",165,2025-09-20,"2025-09-20 04:08:00"
"6517","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:09:00"
"6518","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:09:00"
"6519","aquaHub-660273","9001-43149","Male",165,2025-09-20,"2025-09-20 04:09:00"
"6520","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:11:00"
"6521","aquaHub-660273","9001-52038","Male",153,2025-09-20,"2025-09-20 04:12:00"
"6522","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:13:00"
"6523","aquaHub-660273","9001-52038","Male",153,2025-09-20,"2025-09-20 04:13:00"
"6524","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:15:00"
"6525","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:15:00"
"6526","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:16:00"
"6527","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:17:00"
"6528","aquaHub-660273","9001-52038","Male",153,2025-09-20,"2025-09-20 04:18:00"
"6529","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:18:00"
"6530","aquaHub-660273","9001-52043","Male",1.5,2025-09-20,"2025-09-20 04:18:00"
"6531","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:18:00"
"6532","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:19:00"
"6533","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:20:00"
"6534","aquaHub-660273","9001-52038","Male",153,2025-09-20,"2025-09-20 04:20:00"
"6535","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:20:00"
"6536","aquaHub-660273","9001-52038","Male",153,2025-09-20,"2025-09-20 04:21:00"
"6537","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:21:00"
"6538","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:22:00"
"6539","aquaHub-660273","9001-52043","Male",1.5,2025-09-20,"2025-09-20 04:22:00"
"6540","aquaHub-660273","9001-43289","Male",171,2025-09-20,"2025-09-20 04:23:00"
"6541","aquaHub-660273","9001-52038","Male",153,2025-09-20,"2025-09-20 04:23:00"
"6542","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:23:00"
"6543","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:23:00"
"6544","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:24:00"
"6545","aquaHub-660273","9001-52043","Male",1.5,2025-09-20,"2025-09-20 04:24:00"
"6546","aquaHub-660273","9001-43289","Male",171,2025-09-20,"2025-09-20 04:25:00"
"6547","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:26:00"
"6548","aquaHub-660273","9001-43289","Male",171,2025-09-20,"2025-09-20 04:27:00"
"6549","aquaHub-660273","9001-52038","Male",153,2025-09-20,"2025-09-20 04:27:00"
"6550","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:27:00"
"6551","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:28:00"
"6552","aquaHub-660273","9001-52043","Male",1.5,2025-09-20,"2025-09-20 04:28:00"
"6553","aquaHub-660273","9001-43289","Male",171,2025-09-20,"2025-09-20 04:29:00"
"6554","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:29:00"
"6555","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:30:00"
"6556","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:30:00"
"6557","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:31:00"
"6558","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:32:00"
"6559","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:33:00"
"6560","aquaHub-660273","9001-43289","Male",171,2025-09-20,"2025-09-20 04:33:00"
"6561","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:34:00"
"6562","aquaHub-660298","9001-26756","Male",1.6,2025-09-20,"2025-09-20 04:34:00"
"6563","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:36:00"
"6564","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:36:00"
"6565","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:37:00"
"6566","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:38:00"
